Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
01001;Flensburg, Stadt;Kreise;9,47;9,72;9,2;10,36;9,14;9,1;33,17;35,24;35,41;36,11;37,8;28,77;31,52;32,13
01002;Kiel, Landeshauptstadt;Kreise;9,84;10,07;9,97;10;13,46;13,84;34,31;34,85;35,41;35,61;36,33;31,78;32,23;33,3
01003;Lübeck, Hansestadt;Kreise;9,15;9,13;9,18;8,99;3,98;4,07;34,04;34,33;35,31;36,88;37,52;28,11;29,24;31,02
01004;Neumünster, Stadt;Kreise;8,62;8,74;8,55;8,53;8,49;8,52;28,92;29,33;31,89;31,75;32,28;28,91;29,65;29,16
01051;Dithmarschen;Kreise;5,26;4,92;5,1;4,93;5,43;5,46;18,09;20,58;21,3;23,75;23,93;13,74;15,76;16,48
01053;Herzogtum Lauenburg;Kreise;3,14;3,08;2,91;2,92;2,92;2,82;28,93;31,67;33,67;35,76;34,81;14,67;16,03;17,28
01054;Nordfriesland;Kreise;4,39;3,95;3,89;3,8;4,03;3,99;25,39;28,07;31,56;34,3;34,72;15,2;17,03;15,93
01055;Ostholstein;Kreise;8,24;8,41;8,85;8,6;9,22;9,21;29,26;31,97;32,68;35,11;36,27;12,71;15;15,46
01056;Pinneberg;Kreise;3,11;2,8;2,75;2,77;2,73;2,52;27,32;27,91;30,68;31,65;32,39;24,8;25,34;24,7
01057;Plön;Kreise;1,93;2,17;2,32;2,31;2,47;2,47;31,4;34,02;33,97;37,76;35,05;11,81;12,05;12,98
01058;Rendsburg-Eckernförde;Kreise;4,11;3,46;3,3;3,45;3,44;3,47;27,49;31,94;34,31;34,82;37,25;11,79;11,28;13,43
01059;Schleswig-Flensburg;Kreise;3,47;3,54;3,58;3,51;3,54;3,53;31,23;32,52;37,34;39,75;39,65;12,62;13,28;12,4
01060;Segeberg;Kreise;6,13;6,1;6,05;6,03;6,44;6,37;26,58;32,96;33,39;35,73;35,16;17,8;19,23;18,93
01061;Steinburg;Kreise;4,5;4,63;4,83;4,83;4,86;4,65;24,01;26,44;30,52;34,99;36,81;16,49;18,11;18,2
01062;Stormarn;Kreise;4,72;4,53;4,26;4,31;4,27;4,34;33,75;33,29;34,85;37,43;38,89;17,32;17,61;17,96
02000;Hamburg, Freie und Hansestadt;Kreise;6,93;6,85;6,95;6,89;6,96;6,87;40,43;43,47;43,53;47,1;47,59;38,41;38,07;38,19
03101;Braunschweig, Stadt;Kreise;8,07;7,83;7,52;7,58;6,78;6,76;33,68;36,74;36,87;37,23;38,32;30,63;30,62;31,78
03102;Salzgitter, Stadt;Kreise;4,28;4,25;3,7;3,82;3,82;3,93;16,36;16,34;16,46;17,39;17,44;40,43;38,5;41,77
03103;Wolfsburg, Stadt;Kreise;4,44;4,43;4,41;4,4;4,42;4,41;30,04;32,43;35,41;37,59;38,1;30,26;30,29;30,34
03151;Gifhorn;Kreise;2,51;2,42;2,24;2,42;2,14;2,13;25,34;26,09;29,46;31,37;31,48;12,58;13,48;14,32
03153;Goslar;Kreise;7,81;7,56;7,5;7,49;8;7,82;28,55;32,18;33,14;35,3;38,63;15,18;17,01;19,39
03154;Helmstedt;Kreise;8,54;9,21;9,97;9,92;9,97;10;28,16;30,61;30,1;31,92;30,01;13,6;13,84;13,76
03155;Northeim;Kreise;3,56;3,5;2,93;3,17;2,84;2,86;28,58;29,61;29,2;29,86;32,58;20,01;20,57;20,81
03157;Peine;Kreise;2,32;2,23;1,89;2,04;2,02;1,84;25,4;29,31;27,94;31,13;30,49;20,87;23,76;22,71
03158;Wolfenbüttel;Kreise;2,45;2,46;2,47;2,47;2,48;2,48;28,53;31,69;33,59;33,54;33,53;14,13;15,19;17,19
03159;Göttingen;Kreise;10,34;10,35;10,4;10,45;10,19;10,61;32,53;35,05;36,13;38,51;37,59;22,35;22,79;23,63
03241;Region Hannover;Kreise;6,17;6,14;6,03;6,16;5,88;5,97;29,69;31,19;32,7;33,87;34,34;34,09;34,45;35,93
03251;Diepholz;Kreise;2,23;2,33;2,23;2,29;2,22;2,21;26,67;29,5;30,42;34,48;34,31;19,58;19,61;20,4
03252;Hameln-Pyrmont;Kreise;7,45;7,62;7,43;7,46;7,32;7,19;27,12;28,5;28,65;30,46;29,67;25,37;27,18;27,64
03254;Hildesheim;Kreise;6,15;6,35;6,49;6,52;6,19;6,18;27,32;27,88;29,46;29,64;30,43;22,79;23,32;23,86
03255;Holzminden;Kreise;2,89;2,91;2,55;2,82;2,95;2,91;23,99;24,81;27,46;30,32;28,95;15,05;16,65;18
03256;Nienburg (Weser);Kreise;2,95;2,94;2,94;3,04;2,92;2,92;22,7;26,63;29,93;31,18;30,25;21,05;18,88;19,12
03257;Schaumburg;Kreise;3,76;3,44;3,44;3,53;3,42;3,54;27,56;27,94;29,66;33,17;31,36;22,16;24,46;24,04
03351;Celle;Kreise;3,89;3,93;3,66;3,87;3,33;3,15;25,87;28,06;30,14;30,21;31;11,85;17,65;17,86
03352;Cuxhaven;Kreise;3,4;3,29;3,07;3,03;3,05;3,02;28,75;30,16;30,97;33,32;33,04;14,03;15,88;16,27
03353;Harburg;Kreise;2,96;2,95;2,93;2,91;3,02;3;31,09;32,47;34,51;36,57;36,37;18,92;18,61;19,78
03354;Lüchow-Dannenberg;Kreise;2,42;2,44;2,19;2,11;2,19;2,19;28,62;31,18;33,71;30,26;34,39;12,71;14,45;15,49
03355;Lüneburg;Kreise;4,86;4,89;4,9;4,78;4,9;4,83;36,68;37,2;37,19;40,21;39,61;18,46;17,9;19,24
03356;Osterholz;Kreise;1,91;2,07;2,03;2,05;2,02;2,06;25,91;28,26;31,72;33,99;35,17;14,95;15,09;16,63
03357;Rotenburg (Wümme);Kreise;6,37;6,24;5,73;6,14;5,43;5,44;21,17;24,78;27,26;28,83;29,1;15,32;14,57;16,67
03358;Heidekreis;Kreise;3,31;3,47;3,22;3,2;3,04;2,91;25,35;28,79;29,48;28,17;29,82;15,12;15,42;18,24
03359;Stade;Kreise;4,61;4,55;4,55;4,48;4,56;4,57;27,11;28,7;29,23;31,59;31,94;16,17;18,11;17,24
03360;Uelzen;Kreise;8,87;8,72;8,09;8,3;8,08;8,26;29,88;33,63;34,3;32,93;34,69;15,36;15,49;16,78
03361;Verden;Kreise;1,93;1,92;2,11;2,11;1,85;1,83;24,66;27,34;31,09;31,77;32,02;22,02;20,72;22,24
03401;Delmenhorst, Stadt;Kreise;4,63;4,13;3,69;3,73;3,69;3,69;17,13;15,99;16,31;18,94;19,27;42,3;43,39;41,37
03402;Emden, Stadt;Kreise;6,93;8,32;8,31;7,01;8,64;8,7;21,48;23,29;24,4;25,66;25,02;23,11;24,88;24,43
03403;Oldenburg (Oldenburg), Stadt;Kreise;10,28;10,25;9,63;9,85;9,42;9,47;35,99;40,62;37,74;39,64;39,74;24,13;25,27;26,73
03404;Osnabrück, Stadt;Kreise;12,88;12,88;12,39;12,87;12,08;11,94;30,63;31,19;31,46;31,27;34,67;27,04;36,65;35,74
03405;Wilhelmshaven, Stadt;Kreise;8,19;7,84;6,33;7,95;7,25;6,66;16,61;17,5;18,58;21,64;23,42;23,01;23,2;24,8
03451;Ammerland;Kreise;6,8;6,95;7,71;7,1;8,33;8,37;27,43;31,9;30,89;32,78;35,49;14,85;15,24;15,45
03452;Aurich;Kreise;3,69;3,69;3,62;3,6;3,53;3,7;20,65;21,68;23,49;26,15;27,46;12,72;12,74;14,39
03453;Cloppenburg;Kreise;2,87;2,84;3,23;3,11;3,19;3,16;19,48;23,8;26,03;27,72;28,39;23,56;20,61;21,21
03454;Emsland;Kreise;5,47;5,48;5,4;5,32;5,14;5,26;22,09;26,82;27,74;30,59;35,42;19,41;19,71;20,03
03455;Friesland;Kreise;5,05;5,21;5,18;5,13;5,15;5,15;22,27;24,62;28,86;32,38;28,34;7,89;10,43;9,98
03456;Grafschaft Bentheim;Kreise;4,41;4,41;4,17;4,29;4,21;4,18;25,43;28,5;30,3;31,81;34,2;26,5;27,88;28,6
03457;Leer;Kreise;4,19;4,17;4,08;4,13;4,36;4,29;18,57;18,81;21,1;25,76;27,59;13,29;15,65;14,22
03458;Oldenburg;Kreise;1,77;1,78;1,98;1,88;1,96;1,94;25,56;27,25;30,65;32,61;31,32;9,86;13,58;13,31
03459;Osnabrück;Kreise;4,53;4,57;4,85;4,82;4,7;4,44;24,55;27,57;30,14;30,8;33,32;18,27;17,2;18,04
03460;Vechta;Kreise;6,36;6,18;6,68;6,84;7,04;6,8;27,28;30,89;31,04;34,76;35,23;26,04;21,71;17,63
03461;Wesermarsch;Kreise;2,21;2,45;2,17;2,27;2,23;2,3;27,11;27,62;29,18;31,01;31,64;20,46;21,96;21,51
03462;Wittmund;Kreise;2,88;2,89;2,88;2,88;2,86;3,03;16,22;22,31;22,84;25,09;25,76;11,58;11,03;8,76
04011;Bremen, Stadt;Kreise;7,3;7,05;7,2;7,12;7,25;7,32;26,16;27,04;29,84;29,98;30,69;43,29;43,5;46,22
04012;Bremerhaven, Stadt;Kreise;9,34;8,94;8,87;8,73;8,19;8,39;20,62;20,61;19,6;19,48;21,41;44,51;45,66;46,66
05111;Düsseldorf, Stadt;Kreise;8,32;8,13;7,83;8,06;7,68;7,3;30,83;33,18;34,68;37,42;39,33;43,02;41,52;36,55
05112;Duisburg, Stadt;Kreise;9,26;9,3;9,03;9,22;8,9;8,81;15,87;16,11;16,66;16,85;17,96;47,18;47,71;47,01
05113;Essen, Stadt;Kreise;9,67;9,74;9,58;9,6;8,32;8,54;24,14;26,23;26,35;27,63;29,65;36,27;36,82;38,25
05114;Krefeld, Stadt;Kreise;9,22;9,17;8,95;9,31;8,95;8,85;22,96;23,54;24,24;26,2;27,55;42,76;43,44;42,45
05116;Mönchengladbach, Stadt;Kreise;8,18;8,13;8,4;8,42;7,91;7,63;17,17;16,34;17,32;18,02;19,28;36,3;34,15;33,61
05117;Mülheim an der Ruhr, Stadt;Kreise;5,28;5,44;5,13;5,6;5,05;4,52;24,88;26,5;27,97;30,14;32,12;30,17;26,32;30,32
05119;Oberhausen, Stadt;Kreise;6,97;6,89;6,57;6,96;5,99;5,8;18,24;19,49;20,57;21,65;22,08;33,33;34,22;33,66
05120;Remscheid, Stadt;Kreise;9,22;9,22;9,05;9,2;8,85;9,03;23,03;23,91;23,74;25,02;23,76;45,67;43,89;46,45
