Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Ländlichkeit;Ländlichkeit;Ländlichkeit;Ländlichkeit;Einwohnerdichte;Einwohnerdichte;Einwohnerdichte;Einwohnerdichte;Einwohnerdichte;Einwohnerdichte;Einwohnerdichte;Stimmenanteile AfD;Stimmenanteile AfD;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;2016;2017;2018;2019;2020;2021;2022;2019;2020;2021;2022;2016;2017;2018;2019;2020;2021;2022;2017;2021;2016;2017;2018;2019;2020;2021;2022
"01001";"Flensburg, Stadt";"Kreise";"42,27";"42,17";"42,03";"42,00";"42,13";"42,04";"41,95";"0,00";"0,00";"0,00";"0,00";"1.541,20";"1.560,36";"1.577,72";"1.700,57";"1.585,30";"1.606,08";"1.631,41";"7,51";"5,42";"11,72";"13,27";"14,19";"15,21";"15,79";"16,99";"18,46"
"01002";"Kiel, Landeshauptstadt";"Kreise";"41,44";"41,53";"41,59";"41,72";"41,83";"41,90";"41,85";"0,00";"0,00";"0,00";"0,00";"2.085,47";"2.089,70";"2.086,37";"2.080,02";"2.078,39";"2.075,37";"2.087,80";"6,93";"5,02";"10,73";"11,26";"11,54";"11,99";"12,15";"12,50";"13,57"
"01003";"Lübeck, Hansestadt";"Kreise";"44,58";"44,69";"44,70";"44,78";"44,92";"44,95";"44,89";"0,00";"0,00";"0,00";"0,00";"1.011,77";"1.009,94";"1.014,04";"1.010,92";"1.007,73";"1.009,74";"1.018,23";"8,87";"6,63";"9,18";"9,67";"10,12";"10,62";"10,84";"11,21";"12,52"
"01004";"Neumünster, Stadt";"Kreise";"44,12";"44,19";"44,25";"44,23";"44,40";"44,50";"44,54";"0,00";"0,00";"0,00";"0,00";"1.111,92";"1.107,10";"1.109,22";"1.119,12";"1.115,06";"1.109,35";"1.109,43";"10,35";"9,38";"10,67";"11,01";"11,59";"12,74";"13,17";"13,51";"14,15"
"01051";"Dithmarschen";"Kreise";"45,56";"45,75";"45,91";"46,07";"46,24";"46,32";"46,26";"74,30";"74,60";"74,45";"74,33";"93,52";"93,44";"93,27";"93,26";"93,30";"93,80";"94,70";"8,57";"8,80";"5,23";"5,56";"5,70";"5,96";"6,15";"6,55";"7,76"
"01053";"Herzogtum Lauenburg";"Kreise";"44,55";"44,64";"44,72";"44,84";"44,91";"44,89";"44,81";"36,27";"36,36";"36,34";"36,21";"154,44";"155,24";"156,18";"156,78";"157,67";"158,99";"161,28";"10,22";"8,35";"7,07";"7,50";"7,81";"8,21";"8,54";"8,97";"10,27"
"01054";"Nordfriesland";"Kreise";"45,18";"45,40";"45,63";"45,81";"45,98";"46,09";"46,05";"76,18";"76,23";"76,24";"76,21";"79,16";"79,41";"79,44";"79,65";"80,22";"80,42";"81,13";"5,81";"5,23";"6,52";"6,85";"7,03";"7,31";"7,48";"7,77";"9,05"
"01055";"Ostholstein";"Kreise";"47,47";"47,74";"47,91";"48,10";"48,23";"48,35";"48,21";"33,14";"33,20";"33,21";"33,31";"144,16";"143,99";"143,99";"143,96";"144,64";"145,02";"146,16";"8,46";"7,03";"5,27";"5,47";"5,70";"5,83";"5,98";"6,30";"7,65"
"01056";"Pinneberg";"Kreise";"44,36";"44,43";"44,49";"44,58";"44,66";"44,67";"44,60";"8,21";"8,26";"8,26";"4,09";"467,67";"470,70";"473,30";"475,88";"477,36";"479,23";"484,95";"8,57";"6,87";"9,50";"10,09";"10,61";"11,12";"11,41";"11,84";"13,09"
"01057";"Plön";"Kreise";"46,45";"46,71";"46,91";"47,11";"47,18";"47,27";"47,19";"38,23";"38,14";"38,05";"38,14";"118,78";"118,91";"118,73";"118,76";"119,38";"119,69";"121,14";"7,69";"6,32";"4,43";"4,73";"4,76";"4,90";"4,95";"5,01";"6,01"
"01058";"Rendsburg-Eckernförde";"Kreise";"45,03";"45,18";"45,40";"45,50";"45,61";"45,68";"45,62";"59,58";"59,78";"59,80";"59,84";"124,37";"124,68";"124,57";"125,17";"125,48";"126,06";"127,40";"7,35";"6,36";"4,66";"5,01";"5,08";"5,48";"5,69";"5,76";"6,76"
"01059";"Schleswig-Flensburg";"Kreise";"44,98";"45,13";"45,32";"45,45";"45,57";"45,67";"45,65";"74,29";"74,38";"74,39";"74,41";"95,92";"96,32";"96,57";"97,12";"97,84";"98,39";"99,47";"6,56";"5,92";"5,02";"5,14";"5,21";"5,33";"5,46";"5,66";"6,64"
"01060";"Segeberg";"Kreise";"44,17";"44,28";"44,35";"44,51";"44,64";"44,67";"44,51";"31,35";"31,11";"30,95";"30,99";"202,48";"203,82";"205,31";"206,16";"206,78";"208,56";"211,97";"9,00";"7,62";"7,63";"8,09";"8,67";"8,88";"9,01";"9,29";"10,81"
"01061";"Steinburg";"Kreise";"44,90";"45,09";"45,28";"45,45";"45,61";"45,67";"45,50";"64,11";"64,14";"64,14";"64,12";"124,92";"124,67";"124,42";"124,10";"123,81";"123,94";"125,43";"8,23";"7,98";"6,40";"6,65";"6,78";"6,93";"7,03";"7,29";"8,60"
"01062";"Stormarn";"Kreise";"44,81";"44,97";"45,10";"45,26";"45,30";"45,38";"45,28";"15,28";"15,33";"15,32";"9,32";"315,59";"316,46";"317,40";"318,67";"319,74";"320,28";"323,63";"9,10";"6,62";"6,65";"6,99";"7,34";"7,68";"7,94";"8,15";"9,45"
