Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
;;;2017;2021
"01001";"Flensburg, Stadt";"Kreise";"88.519,00";"91.113,00"
"01002";"Kiel, Landeshauptstadt";"Kreise";"247.943,00";"246.243,00"
"01003";"Lübeck, Hansestadt";"Kreise";"216.318,00";"216.277,00"
"01004";"Neumünster, Stadt";"Kreise";"79.335,00";"79.496,00"
"01051";"Dithmarschen";"Kreise";"133.447,00";"133.969,00"
"01053";"Herzogtum Lauenburg";"Kreise";"196.074,00";"200.819,00"
"01054";"Nordfriesland";"Kreise";"165.462,00";"167.560,00"
"01055";"Ostholstein";"Kreise";"200.584,00";"202.014,00"
"01056";"Pinneberg";"Kreise";"312.662,00";"318.326,00"
"01057";"Plön";"Kreise";"128.842,00";"129.687,00"
"01058";"Rendsburg-Eckernförde";"Kreise";"273.022,00";"276.053,00"
"01059";"Schleswig-Flensburg";"Kreise";"199.503,00";"203.799,00"
"01060";"Segeberg";"Kreise";"274.025,00";"280.400,00"
"01061";"Steinburg";"Kreise";"131.613,00";"130.843,00"
"01062";"Stormarn";"Kreise";"242.472,00";"245.406,00"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"1.830.584,00";"1.853.935,00"
"03101";"Braunschweig, Stadt";"Kreise";"248.023,00";"248.823,00"
"03102";"Salzgitter, Stadt";"Kreise";"104.548,00";"103.694,00"
"03103";"Wolfsburg, Stadt";"Kreise";"123.914,00";"123.949,00"
"03151";"Gifhorn";"Kreise";"175.079,00";"177.919,00"
"03153";"Goslar";"Kreise";"137.563,00";"134.050,00"
"03154";"Helmstedt";"Kreise";"91.720,00";"91.379,00"
"03155";"Northeim";"Kreise";"133.046,00";"131.765,00"
"03157";"Peine";"Kreise";"133.368,00";"136.960,00"
"03158";"Wolfenbüttel";"Kreise";"120.437,00";"119.224,00"
"03159";"Göttingen";"Kreise";"328.036,00";"323.661,00"
"03241";"Region Hannover";"Kreise";"1.152.675,00";"1.157.541,00"
"03251";"Diepholz";"Kreise";"216.012,00";"218.839,00"
"03252";"Hameln-Pyrmont";"Kreise";"148.296,00";"148.963,00"
"03254";"Hildesheim";"Kreise";"276.640,00";"274.773,00"
"03255";"Holzminden";"Kreise";"71.144,00";"69.862,00"
"03256";"Nienburg (Weser)";"Kreise";"121.470,00";"121.773,00"
"03257";"Schaumburg";"Kreise";"157.883,00";"158.108,00"
"03351";"Celle";"Kreise";"178.764,00";"179.915,00"
"03352";"Cuxhaven";"Kreise";"198.100,00";"199.603,00"
"03353";"Harburg";"Kreise";"251.511,00";"257.548,00"
"03354";"Lüchow-Dannenberg";"Kreise";"48.357,00";"48.472,00"
"03355";"Lüneburg";"Kreise";"182.930,00";"185.129,00"
"03356";"Osterholz";"Kreise";"113.105,00";"115.054,00"
"03357";"Rotenburg (Wümme)";"Kreise";"163.377,00";"165.001,00"
"03358";"Heidekreis";"Kreise";"139.099,00";"142.912,00"
"03359";"Stade";"Kreise";"201.887,00";"206.496,00"
"03360";"Uelzen";"Kreise";"92.744,00";"92.894,00"
"03361";"Verden";"Kreise";"136.590,00";"138.507,00"
"03401";"Delmenhorst, Stadt";"Kreise";"77.521,00";"77.522,00"
"03402";"Emden, Stadt";"Kreise";"50.607,00";"49.523,00"
"03403";"Oldenburg (Oldenburg), Stadt";"Kreise";"167.081,00";"170.389,00"
"03404";"Osnabrück, Stadt";"Kreise";"164.374,00";"165.034,00"
"03405";"Wilhelmshaven, Stadt";"Kreise";"76.316,00";"75.027,00"
"03451";"Ammerland";"Kreise";"123.377,00";"126.475,00"
"03452";"Aurich";"Kreise";"189.949,00";"190.425,00"
"03453";"Cloppenburg";"Kreise";"167.925,00";"173.980,00"
"03454";"Emsland";"Kreise";"323.636,00";"331.397,00"
"03455";"Friesland";"Kreise";"98.509,00";"98.971,00"
"03456";"Grafschaft Bentheim";"Kreise";"135.859,00";"138.722,00"
"03457";"Leer";"Kreise";"168.946,00";"172.421,00"
"03458";"Oldenburg";"Kreise";"129.924,00";"132.091,00"
"03459";"Osnabrück";"Kreise";"356.140,00";"361.550,00"
"03460";"Vechta";"Kreise";"140.540,00";"144.805,00"
"03461";"Wesermarsch";"Kreise";"89.022,00";"88.430,00"
"03462";"Wittmund";"Kreise";"56.731,00";"57.455,00"
"04011";"Bremen, Stadt";"Kreise";"568.006,00";"563.290,00"
"04012";"Bremerhaven, Stadt";"Kreise";"113.026,00";"113.173,00"
"05111";"Düsseldorf, Stadt";"Kreise";"617.280,00";"619.477,00"
"05112";"Duisburg, Stadt";"Kreise";"498.110,00";"495.152,00"
"05113";"Essen, Stadt";"Kreise";"583.393,00";"579.432,00"
"05114";"Krefeld, Stadt";"Kreise";"226.699,00";"227.050,00"
"05116";"Mönchengladbach, Stadt";"Kreise";"262.188,00";"261.001,00"
"05117";"Mülheim an der Ruhr, Stadt";"Kreise";"171.265,00";"170.739,00"
"05119";"Oberhausen, Stadt";"Kreise";"211.422,00";"208.752,00"
"05120";"Remscheid, Stadt";"Kreise";"110.584,00";"111.770,00"
"05122";"Solingen, Klingenstadt";"Kreise";"158.803,00";"158.957,00"
"05124";"Wuppertal, Stadt";"Kreise";"353.590,00";"354.572,00"
"05154";"Kleve";"Kreise";"311.270,00";"314.676,00"
"05158";"Mettmann";"Kreise";"485.409,00";"484.411,00"
"05162";"Rhein-Kreis Neuss";"Kreise";"449.408,00";"452.496,00"
