Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner
;;;2016Arbeitslosenquote;2017Arbeitslosenquote;2018Arbeitslosenquote;2019Arbeitslosenquote;2020Arbeitslosenquote;2021Arbeitslosenquote;2016Ausländische Arbeitslose;2017Ausländische Arbeitslose;2018Ausländische Arbeitslose;2019Ausländische Arbeitslose;2020Ausländische Arbeitslose;2021Ausländische Arbeitslose;2022Ausländische Arbeitslose;2016Beschäftigtenquote Ausländer;2017Beschäftigtenquote Ausländer;2018Beschäftigtenquote Ausländer;2019Beschäftigtenquote Ausländer;2020Beschäftigtenquote Ausländer;2021Beschäftigtenquote Ausländer;2022Beschäftigtenquote Ausländer;2016Bruttoverdienst;2017Bruttoverdienst;2018Bruttoverdienst;2019Bruttoverdienst;2020Bruttoverdienst;2021Bruttoverdienst;2016Haushaltseinkommen;2017Haushaltseinkommen;2018Haushaltseinkommen;2019Haushaltseinkommen;2020Haushaltseinkommen;2021Haushaltseinkommen;2016Kaufkraft;2017Kaufkraft;2018Kaufkraft;2019Kaufkraft;2020Kaufkraft;2021Kaufkraft;2016Bruttoinlandsprodukt je Einwohner;2017Bruttoinlandsprodukt je Einwohner;2018Bruttoinlandsprodukt je Einwohner;2019Bruttoinlandsprodukt je Einwohner;2020Bruttoinlandsprodukt je Einwohner;2021Bruttoinlandsprodukt je Einwohner
01001;Flensburg, Stadt;Kreise;9,03;8,95;8,31;7,96;9,06;8,45;17,42;21,79;23,37;23,84;24,23;25,52;27,33;28,95;30,47;32,33;34,72;36,27;39,06;41,21;2.330,01;2.443,18;2.554,67;2.621,98;2.620,59;2.730,48;1.487,67;1.531,61;1.554,13;1.609,42;1.658,69;1.679,23;20.823,11;21.225,55;21.307,34;20.920,62;21.904,95;22.555,19;39,54;41,41;41,69;44,05;43,47;43,26
01002;Kiel, Landeshauptstadt;Kreise;9,66;9,08;8,18;7,59;8,48;8;22,29;25,14;26,63;27,43;29;29,95;32,53;27,96;29,47;32,63;34,62;35,63;38,22;40,7;2.693,15;2.771,49;2.872,08;2.949,22;2.994,41;3.075,29;1.524,34;1.565,91;1.638,27;1.687,22;1.731,73;1.777,98;21.046,92;21.568,05;21.563,44;21.222,14;22.194,52;22.918,42;44,1;45,92;47,93;49,21;48,77;50,57
01003;Lübeck, Hansestadt;Kreise;9,07;8,6;7,78;7,28;8,14;8,08;17,87;21,15;22,54;23,65;24,62;24,68;28,16;33,45;36,19;38,21;38,79;40,46;43,53;43,91;2.589,09;2.616,34;2.723,57;2.823,89;2.876,69;2.963,92;1.579,43;1.660,43;1.700,01;1.766,38;1.821,83;1.866,34;22.163,25;22.673,06;22.707,65;22.350,78;23.343,36;24.127,79;37,23;42,35;43,33;45,5;44,57;47,31
01004;Neumünster, Stadt;Kreise;9,56;9,21;8,34;7,9;8,92;8,71;17,77;18,87;19,68;21,65;23,82;25,88;26,53;27,48;32,66;34,63;34,08;35,04;39,14;42,49;2.465,45;2.529,43;2.619,48;2.733,45;2.743,53;2.835,68;1.551,41;1.565,00;1.656,58;1.670,31;1.721,99;1.768,44;21.380,54;22.228,84;22.311,98;21.988,87;22.931,73;23.764,92;39,54;42,05;43,16;43,89;45,1;48,5
01051;Dithmarschen;Kreise;7,19;6,83;6,27;5,49;6,09;5,9;13,27;17,09;15,51;16,71;17,27;17,35;21,64;33,33;37,01;39,41;42,72;42,53;43,29;43,09;2.325,08;2.363,96;2.443,60;2.514,03;2.529,37;2.596,97;1.770,79;1.886,64;1.924,99;2.001,42;2.018,56;2.051,31;22.285,64;23.069,19;23.189,27;22.804,74;23.860,16;25.035,42;30,49;33,48;34,57;34,86;34,14;37,74
01053;Herzogtum Lauenburg;Kreise;5,66;5,47;4,97;4,68;5,47;5,27;18,51;21,53;22,57;23,76;24,96;25,36;29,98;32,15;34,7;38,89;41,21;40,42;44,15;42,68;2.383,23;2.441,82;2.504,87;2.593,49;2.616,14;2.710,55;1.865,76;2.193,80;1.999,52;2.044,20;2.074,24;2.116,79;24.812,11;25.586,42;25.674,20;25.236,75;26.386,23;27.154,13;21,61;22,93;23,45;24,32;24,08;25,15
01054;Nordfriesland;Kreise;6,12;6,14;5,3;4,77;5,3;5,04;12,15;16,68;17,59;18,16;17,55;16,94;21,16;38,37;42,33;45,05;46,03;44,87;48,39;47,74;2.303,92;2.362,61;2.427,58;2.479,82;2.483,89;2.554,30;1.989,39;2.115,10;2.180,60;2.281,30;2.257,46;2.291,63;22.541,58;23.387,53;23.488,37;23.139,86;24.223,89;25.573,58;33,41;34,66;34,15;36,9;36,88;39,09
01055;Ostholstein;Kreise;5,85;5,58;5,14;4,98;5,46;5,08;10,76;13,82;15,24;16,51;17,31;17,07;21,17;39,02;43,98;46,62;48,92;46,95;51,12;51,61;2.164,80;2.223,20;2.306,31;2.389,25;2.421,84;2.495,89;1.809,06;1.903,19;1.974,99;2.064,16;2.087,13;2.132,39;23.520,32;24.285,71;24.310,18;23.897,10;25.045,24;26.149,91;24,77;26,28;26,84;28,05;27,84;29,29
01056;Pinneberg;Kreise;5,17;5,03;4,65;4,52;5,36;5,27;22,85;27,05;29,2;31,18;32,15;33,49;38,84;39,21;40,47;42,78;44,58;45,41;46,95;47,14;2.556,45;2.605,09;2.729,74;2.781,46;2.806,66;2.906,64;1.954,04;2.002,53;2.079,32;2.125,60;2.156,25;2.209,26;25.813,32;26.167,90;26.188,85;25.713,46;26.848,45;27.512,12;28,4;29;29,76;30,48;29,88;31,43
01057;Plön;Kreise;5,36;5,04;4,47;4,04;4,72;4,27;11,67;13,74;16,12;16,14;15,97;16,29;19,05;24,41;28,5;34,4;37,12;36,34;40,51;38,06;2.053,67;2.103,38;2.188,51;2.273,14;2.291,15;2.366,93;1.828,32;1.873,67;1.957,76;2.032,23;2.059,92;2.104,94;23.425,02;24.280,24;24.371,22;23.979,68;25.124,27;26.221,78;18,55;19,75;19,92;21,64;21,25;22,58
01058;Rendsburg-Eckernförde;Kreise;4,91;4,89;4,33;3,94;4,46;4,31;11,83;16,22;16,29;18,24;18,89;19,69;24,12;25,62;28;31,2;33,48;35,39;38,69;39,1;2.312,75;2.384,66;2.471,97;2.546,68;2.573,60;2.639,96;1.842,31;1.918,17;2.236,27;2.075,62;2.100,50;2.140,73;23.842,29;24.822,38;24.921,18;24.535,05;25.643,04;26.678,59;26,64;28,61;29,04;31,32;31,91;32,82
01059;Schleswig-Flensburg;Kreise;6,25;6;5,33;4,3;5,34;5,25;10,34;14,7;14,53;15,06;15,14;15,59;17,75;25,36;29,03;32,53;35,74;35,94;37,77;36,4;2.162,23;2.217,10;2.298,61;2.363,72;2.381,61;2.427,56;1.781,55;1.855,51;1.901,13;1.976,24;1.987,19;2.018,16;22.578,02;23.253,26;23.621,95;23.251,19;24.289,58;25.368,48;23,99;25,75;26,37;27,58;27,75;30,07
01060;Segeberg;Kreise;4,79;4,68;4,27;4,05;4,98;4,8;16,8;21,27;20,9;23,14;23,11;24,13;28,03;32,68;35,11;36,47;40,2;41,79;44,37;42,52;2.569,87;2.644,94;2.756,03;2.855,54;2.895,52;2.946,06;1.842,19;1.891,20;1.950,94;2.030,57;2.063,93;2.104,69;24.175,49;24.801,57;24.873,20;24.431,14;25.519,32;26.349,96;29,6;30,7;31,43;32,93;33,56;34,54
01061;Steinburg;Kreise;6,33;6,11;5,58;5,07;5,79;5,86;12,44;18,07;18,15;19,16;19,93;20,94;24,67;27,9;30,46;35,21;39,16;39,67;41,67;39,6;2.332,93;2.389,29;2.467,75;2.538,21;2.550,52;2.626,61;1.720,73;1.783,53;1.842,91;1.929,79;1.966,50;2.012,33;22.418,77;23.281,32;23.349,30;22.988,75;23.984,06;25.032,53;30,9;30,46;32,4;35,59;35,33;35,34
01062;Stormarn;Kreise;3,6;3,43;3,19;3,06;3,8;3,62;20,53;24,39;24,84;27,07;28,59;27,89;33,28;38,29;41,17;44,53;46,87;48,32;51,05;48,35;2.577,66;2.672,10;2.758,96;2.846,10;2.855,24;2.958,11;2.015,84;2.076,76;2.163,48;2.219,95;2.246,56;2.310,42;27.511,78;27.815,92;27.805,68;27.281,32;28.553,32;29.157,87;32,19;33,49;33,97;35,1;36,16;37,59
02000;Hamburg, Freie und Hansestadt;Kreise;7,08;6,83;6,32;6,13;7,55;7,46;29,75;31,57;32,84;33,96;34,58;35,02;38,51;39,2;41,57;44,98;48,33;48,48;50,46;49,44;3.369,21;3.433,37;3.533,36;3.655,29;3.630,61;3.767,82;2.004,26;2.005,43;2.084,87;2.108,20;2.137,17;2.178,98;24.943,21;25.719,59;25.694,77;25.144,24;26.220,42;26.965,02;61,06;63,69;64,61;67,59;64,75;70,59
03101;Braunschweig, Stadt;Kreise;6,07;5,83;5,33;4,89;5,36;5,21;19,92;22,1;23,37;25,4;25,89;26,89;31,27;41,39;42,34;44,32;44,79;46,5;49,04;46,45;3.024,81;3.115,18;3.227,09;3.339,72;3.337,91;3.426,79;1.772,88;1.828,24;1.900,95;1.937,79;1.982,46;2.015,85;24.240,63;24.776,64;24.897,10;24.568,56;25.656,84;26.389,90;72,11;73,88;75,15;82,63;79,39;82,4
03102;Salzgitter, Stadt;Kreise;10,49;10,47;9,31;8,79;9,93;9,21;33,83;37,59;37,47;39,04;39,54;42,04;44,82;32,29;34,84;38,03;42,63;42,34;44,05;44,12;3.456,04;3.527,95;3.642,60;3.680,66;3.532,09;3.577,22;1.584,04;1.600,36;1.666,83;1.704,35;1.746,46;1.776,02;20.945,86;21.776,86;21.950,61;21.615,47;22.624,15;23.439,67;49,43;52,77;56,04;55,75;48,96;51,78
03103;Wolfsburg, Stadt;Kreise;5,02;4,93;4,77;4,51;5,15;5,29;34,1;37,24;36,1;37,67;37,59;38,71;47,31;44,77;45,66;47,03;49,07;51,8;52,43;49,06;4.733,24;4.833,03;5.117,40;5.380,26;5.248,56;5.100,71;1.942,13;1.977,08;2.038,24;2.106,11;2.161,64;2.197,25;25.280,81;25.763,48;25.698,91;25.430,74;26.514,37;27.251,93;177,65;165,52;184,28;195,64;164,93;158,68
03151;Gifhorn;Kreise;4,68;4,65;4,4;3,99;4,46;4,3;17,28;18,98;19,99;20,78;21,24;21,98;30,96;36,93;38,72;39,72;42,14;43,78;45,64;43,17;2.405,78;2.493,03;2.536,57;2.610,30;2.607,18;2.688,38;1.875,75;1.900,61;1.980,80;2.043,49;2.076,86;2.109,58;23.680,23;24.918,05;25.129,10;24.891,16;26.022,50;27.037,06;20,5;20,79;21,05;21,53;21,46;22,26
03153;Goslar;Kreise;7,62;7,15;6,43;5,91;6,94;6,6;14,27;17,38;18,39;19,52;20,14;20,87;25,44;27,59;29,01;30,83;34,28;37,22;40,13;39,88;2.363,70;2.451,60;2.542,91;2.628,85;2.638,44;2.709,89;1.658,18;1.711,50;1.786,87;1.828,92;1.871,14;1.905,43;22.402,13;23.262,81;23.379,75;22.947,75;23.992,86;24.951,54;27,82;29,06;29,74;29,42;28,71;29,65
03154;Helmstedt;Kreise;6,79;6,89;6,24;5,79;6,22;6,05;13,67;17,68;16,26;16,84;16,93;16,53;20,64;32,39;35,57;40,86;44,91;48,01;49,76;42,38;2.280,77;2.353,20;2.479,79;2.557,22;2.569,50;2.652,64;1.836,78;1.872,48;1.947,56;2.003,06;2.036,39;2.073,41;23.166,02;24.200,67;24.405,55;24.201,85;25.258,20;26.265,08;19,19;19,61;20,62;21,1;21,43;22,27
03155;Northeim;Kreise;6,17;5,8;5,41;5,11;5,64;5,41;14,55;16,51;17,83;18,74;18,71;19,75;27,78;32,74;36,03;38,76;41,37;42,91;45,79;41,11;2.439,63;2.502,60;2.582,86;2.656,88;2.617,60;2.707,36;1.745,49;1.793,30;1.876,85;1.920,65;1.952,90;1.985,44;22.543,50;23.176,52;23.203,69;22.816,54;23.879,96;25.064,04;28,22;29,03;28,67;28,91;28,94;30,03
03157;Peine;Kreise;5,56;5,29;4,8;4,44;5,21;5,09;19,98;24,39;23,88;25,37;25,68;26,84;33,49;33,71;37,39;40,49;44,71;44,92;47,49;44,65;2.278,49;2.342,21;2.436,55;2.494,81;2.504,82;2.581,25;1.744,83;1.793,26;1.866,74;1.917,06;1.939,89;1.965,79;23.047,72;23.705,73;23.839,88;23.491,56;24.535,50;25.241,02;20,77;21;22,31;22,37;22,1;23,23
03158;Wolfenbüttel;Kreise;5,54;5,49;4,9;4,41;4,89;4,74;14,6;17,32;18,4;18,51;21,2;22,91;30,54;33,02;36,61;41,01;43,2;43,98;45,77;41,79;2.298,60;2.402,19;2.471,65;2.524,18;2.580,48;2.628,21;1.764,08;1.814,85;1.900,31;1.946,01;1.989,52;2.030,66;24.005,34;24.817,15;24.990,38;24.665,68;25.791,34;26.632,22;19,53;19,87;20,49;21,45;21,19;22,23
03159;Göttingen;Kreise;6,04;5,92;5,71;5,34;6,12;5,73;17,9;19,81;20,66;21,31;22,45;22,93;27,91;35,69;37,69;40,04;43,53;45,02;47,39;45,78;2.577,38;2.655,09;2.741,56;2.806,92;2.829,34;2.920,85;1.662,71;1.702,65;1.771,86;1.811,72;1.852,80;1.887,22;22.602,73;23.304,78;23.317,03;22.922,76;23.969,50;24.957,04;33,49;34,43;35,46;36,34;36,03;38,95
03241;Region Hannover;Kreise;7,49;7,09;6,62;6,41;7,49;7,58;31,7;32,87;34,76;36,62;38,21;39,44;41,78;39,13;41,18;42,75;45,77;46,93;48,9;47,72;2.922,39;2.991,75;3.117,09;3.212,42;3.205,23;3.281,89;1.724,59;1.762,98;1.826,68;1.860,80;1.900,26;1.929,66;24.023,21;24.615,14;24.600,38;24.186,69;25.209,99;25.940,20;43,47;44,22;45,81;47,47;46,13;47,84
03251;Diepholz;Kreise;4,34;4,2;3,94;3,87;4,57;4,35;18,37;22,25;24,75;26,86;28,39;28,5;34,55;40,32;42,9;45,94;49,73;50,09;55,34;52,3;2.270,40;2.299,76;2.404,42;2.470,60;2.445,89;2.513,48;1.849,74;1.920,01;1.992,59;2.040,32;2.038,37;2.064,21;24.103,89;24.560,76;24.578,13;24.204,65;25.328,74;26.169,34;29,42;30,78;30,26;31,44;30,58;32,71
03252;Hameln-Pyrmont;Kreise;7,13;6,76;6,23;6,08;6,74;6,61;22,52;26,23;25,89;26,96;28,26;29,99;36,3;35,65;35,99;39,45;43,66;43,71;45,59;43,32;2.613,07;2.620,72;2.766,48;2.856,89;2.852,17;2.968,84;1.737,00;1.796,42;1.859,51;1.890,95;1.924,57;1.950,72;22.769,05;23.434,48;23.415,50;23.068,30;24.048,73;24.771,19;33,35;33,99;34,63;36,17;36,65;38,38
03254;Hildesheim;Kreise;6,62;6,45;6,04;5,74;6,46;6,45;19,36;22,19;22,89;23,57;25,66;26,64;30,53;31,2;33,98;36,74;39,86;40,8;44,15;40,91;2.538,13;2.551,75;2.624,69;2.697,59;2.689,68;2.873,98;1.698,56;1.739,90;1.801,08;1.850,70;1.884,81;1.921,91;23.153,03;23.810,12;23.808,40;23.428,78;24.446,46;25.205,88;27,12;28,16;28,41;29,7;29,46;30,44
03255;Holzminden;Kreise;7,19;6,73;6,5;6,3;6,6;6,49;16,11;18,82;17,97;17,58;17,09;17,41;26,03;29,34;32,88;36,15;40,35;41,18;44,53;39,87;2.559,92;2.620,76;2.718,73;2.724,51;2.821,70;2.927,60;1.673,50;1.715,66;1.789,50;1.841,16;1.870,54;1.903,34;21.818,30;22.440,49;22.426,15;22.123,53;23.054,68;24.095,83;30,03;30,35;31,15;32,16;32,41;34,7
03256;Nienburg (Weser);Kreise;5,52;5,31;4,84;4,78;5,36;5,11;19,78;22,42;22,43;24,48;24,19;26,91;31,78;40,47;43,24;46,25;50,13;49,92;52,46;48,65;2.370,92;2.401,01;2.501,53;2.573,93;2.587,89;2.657,07;1.665,46;1.736,48;1.777,63;1.843,56;1.859,49;1.891,43;22.093,78;22.711,16;22.748,71;22.409,15;23.448,89;24.426,51;29,08;30,3;30,74;32,12;32,26;34,09
03257;Schaumburg;Kreise;6,3;6;6,07;5,29;5,72;5,32;20,16;24,74;27,42;25,94;25,37;26,13;33,46;33,54;34,19;38,62;42,71;43,7;47,47;43,94;2.318,75;2.355,08;2.449,86;2.508,57;2.534,53;2.597,88;1.727,69;1.783,76;1.868,05;1.902,06;1.922,94;1.962,48;23.560,35;24.098,41;24.251,52;23.928,61;25.049,43;25.689,19;23,93;24,75;26,06;26,53;26,33;28,03
03351;Celle;Kreise;7,16;7,07;6,16;5,72;6,37;6,01;16,31;19,69;19,14;19,61;21,4;21,27;26,01;33,95;36,82;38,49;43,54;46,12;48,74;47,49;2.490,72;2.556,24;2.642,02;2.714,24;2.743,31;2.812,07;1.663,26;1.695,79;1.757,58;1.817,29;1.839,44;1.868,65;23.038,33;23.883,69;23.969,44;23.619,45;24.714,86;25.349,83;27,91;28,55;30,1;30,75;30;30,97
03352;Cuxhaven;Kreise;5,79;5,46;5,23;5,18;5,87;5,72;15,81;17,95;18,36;18,99;19,32;19,23;23,2;39,67;42,52;46,67;49,64;49,92;53,32;49,62;2.132,11;2.181,35;2.271,29;2.354,28;2.401,98;2.441,18;1.733,26;1.832,10;1.854,09;1.902,43;1.916,07;1.936,13;23.283,70;23.938,05;23.956,63;23.609,09;24.650,60;25.707,05;21,28;22,27;23,29;24,73;25,77;26,32
03353;Harburg;Kreise;4,25;4,08;3,86;3,71;4,38;4,35;18,92;20,41;21,56;23,28;23,92;25,25;31,61;38,77;44,02;49,19;52,87;53,74;55,78;54,06;2.289,81;2.353,25;2.450,43;2.536,49;2.543,82;2.625,24;2.018,09;2.082,66;2.170,61;2.199,76;2.209,36;2.236,74;27.200,09;27.561,10;27.627,13;27.159,54;28.337,25;28.831,68;22,43;23,45;24,27;25,34;25,05;26,1
03354;Lüchow-Dannenberg;Kreise;8,02;8,14;7,45;7,34;7,89;7,49;9,18;10,79;8,98;11,02;11,4;11,15;14,34;39,2;43,68;42,84;43,45;45,85;46,31;44,07;2.162,97;2.227,59;2.300,51;2.364,34;2.355,14;2.403,08;1.628,57;1.706,54;1.769,75;1.816,20;1.838,59;1.861,18;21.566,24;22.355,72;22.404,33;22.175,35;23.176,09;24.330,94;25,31;25,87;25,9;26,22;26,09;26,57
03355;Lüneburg;Kreise;5,83;5,56;5,37;5,28;6,03;5,85;15,36;18,86;19,71;21,28;21,11;23,83;28,88;29,67;31,77;35,86;40,21;41,71;45,43;42,81;2.383,91;2.441,99;2.526,81;2.613,24;2.637,36;2.730,76;1.679,71;1.738,05;1.799,26;1.832,89;1.858,46;1.887,47;23.345,09;24.187,39;24.247,18;23.884,27;24.947,16;25.638,57;26,28;26,87;28,28;29,52;29,92;30,86
03356;Osterholz;Kreise;3,84;3,76;3,39;3,34;3,79;3,33;16,78;21,97;22,12;23,58;22,79;23,75;28,61;37,23;37,21;40,23;43,23;42,63;45,58;40,33;2.162,32;2.077,68;2.295,10;2.382,91;2.403,21;2.482,27;1.815,45;1.879,89;1.953,70;2.003,23;2.016,11;2.046,71;24.536,66;24.948,64;24.935,26;24.528,86;25.786,55;26.695,58;19,5;20,09;20,66;21,34;21,59;22,28
